Elapsed Time (s),Hot(C),Cold(V),Voltage(A)
0.0,31.12,3056.0,0.0
0.5,31.12,30.56,0.0
1.0,31.12,30.56,0.0
1.5,31.12,30.56,0.0
2.0,31.12,30.56,0.0
2.5,31.06,30.56,0.0
3.0,31.06,30.56,0.0
3.5,31.06,30.56,0.0
4.0,31.06,30.56,0.0
4.5,31.06,30.56,0.0
5.0,31.06,30.56,0.0
5.5,31.06,30.56,0.0
6.0,31.06,30.56,0.0
6.5,31.06,30.56,0.0
7.0,31.06,30.56,0.0
7.5,31.06,30.56,0.0
8.0,31.06,30.56,0.0
8.5,31.06,30.56,0.0
9.0,31.06,30.56,0.0
9.5,31.06,30.56,0.0
10.0,31.6,30.56,11.84
10.5,31.06,30.56,11.9
11.0,31.19,29.94,11.98
11.5,31.19,29.62,11.88
12.0,31.31,28.69,11.9
12.5,31.56,28.31,11.87
13.0,31.69,27.5,12.28
13.5,31.81,27.12,12.45
14.0,31.87,26.25,12.13
14.5,32.0,25.94,11.97
15.0,32.0,25.12,11.85
15.5,32.13,24.81,12.29
16.0,32.19,24.25,11.85
16.5,32.25,23.75,11.91
17.0,32.31,23.19,11.92
17.5,32.31,22.75,11.67
18.0,32.31,22.19,12.11
18.5,32.38,21.81,12.13
19.0,32.44,21.25,11.75
19.5,32.5,20.87,11.97
20.0,32.5,20.37,11.8
20.5,32.56,20.12,12.71
21.0,32.63,19.56,12.42
21.5,32.63,19.37,12.23
22.0,32.69,18.75,12.27
22.5,32.9,18.31,11.61
23.0,32.69,0.12,11.74
23.5,32.75,17.87,11.94
24.0,32.81,17.44,12.1
24.5,32.81,17.19,12.21
25.0,32.88,16.81,11.66
25.5,32.88,16.56,11.75
26.0,32.94,16.19,11.75
26.5,33.0,16.0,12.18
27.0,33.0,15.69,12.22
27.5,33.0,15.44,12.09
28.0,33.06,15.19,11.9
28.5,33.06,14.94,11.82
29.0,33.06,14.69,12.26
29.5,33.13,14.5,12.08
30.0,33.13,14.19,11.94
30.5,33.13,13.94,11.76
31.0,33.13,13.69,11.75
31.5,33.19,13.38,11.87
32.0,33.19,13.25,11.78
32.5,33.19,13.13,11.42
33.0,33.31,12.81,11.78
33.5,33.31,12.69,12.17
34.0,33.31,12.44,12.0
34.5,33.31,1231.0,11.63
35.0,33.31,12.06,11.97
35.5,33.38,11.94,11.89
36.0,33.38,11.69,12.16
36.5,33.38,11.5,11.98
37.0,33.38,11.31,11.74
37.5,33.44,11.19,11.94
38.0,33.44,11.0,12.52
38.5,33.44,10.88,12.24
39.0,33.44,10.75,12.44
39.5,33.5,10.44,12.15
40.0,33.5,10.44,11.95
40.5,33.5,10.25,12.25
41.0,33.63,9.81,12.02
41.5,33.63,9.63,11.81
42.0,33.63,9.5,11.92
42.5,33.63,9.5,12.21
43.0,33.63,9.25,11.95
43.5,33.63,9.06,11.71
44.0,33.69,9.0,12.33
44.5,33.69,8.75,12.39
45.0,33.69,8.75,11.89
45.5,33.69,8.69,11.79
46.0,33.69,8.5,12.16
46.5,33.75,8.31,12.43
47.0,33.75,8.13,12.16
47.5,33.75,8.0,11.82
48.0,33.81,7.94,11.96
48.5,33.81,7.81,11.94
49.0,33.81,7.62,12.16
49.5,33.81,7.62,12.32
50.0,33.81,7.5,12.18
50.5,33.81,7.37,12.12
51.0,33.81,7.19,12.14
51.5,33.81,7.06,12.13
52.0,33.81,6.94,12.29
52.5,33.88,6.94,11.87
53.0,33.88,6.87,11.8
53.5,33.88,6.9,12.48
54.0,33.88,6.56,12.23
54.5,33.94,6.5,11.78
55.0,33.94,6.37,11.87
55.5,33.94,6.31,11.96
56.0,33.94,6.25,12.09
56.5,33.94,6.12,12.03
57.0,33.94,6.0,12.0
57.5,33.94,5.94,12.0
58.0,33.94,5.81,12.12
58.5,33.94,5.81,11.73
59.0,34.0,5.69,11.91
59.5,34.0,5.62,11.65
60.0,34.0,5.44,12.15
60.5,34.0,5.44,11.9
61.0,34.0,5.37,12.06
61.5,34.0,5.31,11.87
62.0,34.06,5.19,12.09
62.5,34.06,5.06,12.23
63.0,34.06,5.06,12.25
63.5,34.06,4.94,12.62
64.0,34.06,4.87,12.33
64.5,34.06,4.75,12.06
65.0,34.06,4.62,11.97
65.5,34.06,4.62,12.27
66.0,34.06,4.5,12.1
66.5,34.06,4.44,12.12
67.0,34.13,4.31,11.82
67.5,34.13,4.25,11.81
68.0,34.13,4.19,12.09
68.5,34.13,4.06,12.17
69.0,34.13,4.0,11.95
69.5,34.13,4.0,12.44
70.0,34.13,3.87,12.44
70.5,34.13,3.87,12.13
71.0,34.13,3.75,11.89
71.5,34.13,3.75,11.79
72.0,34.19,3.44,12.04
72.5,34.19,3.44,12.15
73.0,34.19,3.37,12.13
73.5,34.19,3.31,12.13
74.0,34.19,3.19,11.86
74.5,34.19,3.12,12.38
75.0,34.19,3.0,12.01
75.5,34.19,3.0,12.21
76.0,34.19,2.87,11.96
76.5,34.25,2.87,11.89
77.0,34.25,2.81,11.76
77.5,34.2,2.75,11.89
78.0,34.25,2.69,11.93
78.5,34.25,2.62,12.03
79.0,34.25,2.56,11.91
79.5,34.25,2.44,11.74
80.0,34.25,2.37,11.8
80.5,34.31,2.37,11.69
81.0,34.31,2.25,11.78
81.5,34.31,2.25,12.54
82.0,34.31,2.12,11.97
82.5,34.31,2.12,11.78
83.0,34.31,2.06,12.28
83.5,34.31,2.0,11.86
84.0,34.31,1.87,12.5
84.5,34.31,1.87,12.22
85.0,34.31,1.81,11.94
85.5,34.31,1.81,11.76
86.0,34.31,1.62,11.91
86.5,34.31,1.62,12.04
87.0,34.31,1.5,12.06
87.5,34.31,1.5,12.35
88.0,34.31,1.44,12.14
88.5,34.31,1.37,11.88
89.0,34.31,1.37,11.83
89.5,34.31,1.31,12.2
90.0,34.31,1.19,12.28
90.5,34.31,1.12,11.7
91.0,34.1,1.12,12.17
91.5,34.31,1.12,12.12
92.0,34.31,1.0,11.92
92.5,34.31,0.94,12.17
93.0,34.31,0.94,11.76
93.5,34.31,0.81,11.9
94.0,34.31,0.81,12.22
94.5,34.31,0.75,11.97
95.0,34.31,0.69,11.9
95.5,34.31,0.56,11.87
96.0,34.38,0.56,11.7
96.5,34.38,0.56,12.11
97.0,34.38,0.44,12.35
97.5,34.38,0.37,11.96
98.0,34.38,0.37,11.61
98.5,34.38,0.25,11.81
99.0,34.38,0.25,12.08
99.5,34.38,0.19,11.81
100.0,34.38,0.13,12.23
100.5,34.38,0.13,11.71
101.0,34.38,0.13,12.27
101.5,34.38,0.06,12.21
102.0,34.38,0.06,11.79
102.5,34.38,0.06,11.81
103.0,34.38,0.0,11.93
103.5,34.38,-0.06,12.59
104.0,3438.0,-0.19,12.22
104.5,34.38,-0.19,11.85
105.0,34.38,-0.19,12.16
105.5,34.38,-0.31,11.65
106.0,34.44,-0.37,11.93
106.5,34.44,-0.37,11.77
107.0,34.44,-0.44,12.06
107.5,34.44,-0.44,12.4
108.0,34.44,-0.5,12.24
108.5,34.44,-0.56,12.2
109.0,34.44,-0.62,11.91
109.5,34.44,-0.69,11.99
110.0,34.4,-0.69,11.89
110.5,34.44,-0.75,12.2
111.0,34.44,-0.75,11.75
111.5,34.44,-0.88,11.97
112.0,34.44,-0.88,12.15
112.5,34.44,-0.94,12.01
113.0,34.44,-0.94,12.24
113.5,34.44,-1.06,12.43
114.0,34.44,-1.06,11.93
114.5,34.44,-1.12,11.85
115.0,34.44,-1.19,11.85
115.5,34.44,-1.9,11.93
116.0,34.44,-1.31,12.16
116.5,34.44,-1.37,11.69
117.0,34.44,-1.37,11.58
117.5,34.44,-1.37,11.82
118.0,34.44,-1.44,12.1
118.5,34.44,-1.44,12.18
119.0,34.44,-1.5,12.03
119.5,34.44,-1.56,11.99
120.0,34.44,-1.56,12.03
120.5,34.44,-1.62,11.87
121.0,34.44,-1.62,11.72
121.5,34.44,-1.75,12.01
122.0,34.44,-1.75,12.15
122.5,34.44,-1.81,12.14
123.0,34.44,-1.81,12.09
123.5,34.44,-1.87,12.1
124.0,34.44,-1.87,12.19
124.5,34.44,-2.0,11.9
125.0,34.44,-2.0,11.99
125.5,34.44,-2.06,12.15
126.0,34.44,-2.06,11.66
126.5,34.44,-2.12,12.36
127.0,34.44,-2.12,11.9
127.5,34.44,-2.19,11.77
128.0,34.44,-2.19,11.76
128.5,34.44,-2.25,11.91
129.0,34.44,-2.31,11.86
129.5,34.44,-2.31,12.01
130.0,34.44,-2.31,11.9
130.5,34.44,-2.37,11.66
131.0,34.44,-2.44,12.05
131.5,34.44,-2.5,11.95
132.0,34.44,-2.56,11.78
132.5,34.44,-2.56,11.94
133.0,34.44,-2.56,11.8
133.5,34.44,-2.56,12.22
134.0,34.5,-2.62,11.9
134.5,34.5,-2.62,11.85
135.0,34.5,-2.75,11.88
135.5,34.5,-2.75,11.98
136.0,34.5,-2.81,11.6
136.5,35.13,-2.81,12.06
137.0,36.25,-2.81,12.1
137.5,36.38,-2.87,11.74
138.0,35.13,-2.94,11.89
138.5,34.69,-2.94,12.27
139.0,34.5,-3.0,11.96
139.5,34.5,-3.0,11.9
140.0,34.5,-3.0,11.85
140.5,34.75,-3.06,12.47
141.0,36.9,-3.06,12.66
141.5,35.06,-3.06,12.12
142.0,34.75,-3.12,11.94
142.5,34.69,-3.19,11.74
143.0,34.69,-3.19,12.11
143.5,34.56,-3.25,11.83
144.0,34.56,-3.25,12.06
144.5,34.5,-3.25,11.87
145.0,34.5,-3.25,12.12
145.5,35.13,-3.31,11.75
146.0,34.63,-3.31,12.06
146.5,35.44,-3.31,12.22
147.0,34.81,-3.37,11.83
147.5,34.56,-3.37,11.74
148.0,34.56,-3.5,12.03
148.5,34.56,-3.5,12.24
149.0,34.56,-3.5,11.99
149.5,34.5,-3.56,11.97
150.0,34.5,-3.56,11.89
150.5,34.5,-3.56,12.41
151.0,34.5,-3.62,12.03
151.5,34.5,-3.62,11.82
152.0,34.5,-3.62,12.09
152.5,34.5,-3.62,12.27
153.0,34.5,-3.62,11.8
153.5,34.5,-3.69,12.15
154.0,34.5,-3.69,11.91
154.5,34.5,-3.69,12.34
155.0,34.5,-3.75,12.1
155.5,34.5,-3.75,12.08
156.0,34.5,-3.75,11.48
156.5,34.5,-3.81,11.77
157.0,34.5,-3.87,11.92
157.5,34.5,-3.87,11.96
158.0,34.5,-3.87,12.48
158.5,34.5,-3.87,12.06
159.0,34.5,-3.94,11.94
159.5,34.5,-3.94,11.94
160.0,34.5,-3.94,12.13
160.5,34.0,-3.94,12.31
161.0,34.5,-3.94,11.9
161.5,34.5,-4.0,12.17
162.0,34.5,-4.0,11.77
162.5,34.5,-4.0,12.1
163.0,34.5,-4.06,12.02
163.5,34.5,-4.06,11.75
164.0,34.5,-4.06,11.85
164.5,34.5,-4.12,11.97
165.0,34.5,-4.12,11.84
165.5,34.5,-4.12,12.04
166.0,34.5,-4.19,11.96
166.5,34.5,-4.19,12.17
167.0,34.5,-4.19,11.9
167.5,34.5,-4.19,12.0
168.0,34.5,-4.19,12.27
168.5,34.5,-4.19,11.98
169.0,34.5,-4.25,11.89
169.5,34.5,-4.25,11.97
170.0,34.5,-4.25,11.72
170.5,34.5,-4.25,11.85
171.0,34.5,-4.31,12.32
171.5,34.5,-4.31,12.16
172.0,34.5,-4.37,12.19
172.5,34.5,-4.37,11.66
173.0,34.5,-4.37,12.01
173.5,34.5,-4.44,11.94
174.0,34.5,-4.44,11.72
174.5,34.5,-4.44,12.15
175.0,34.5,-4.44,11.79
175.5,34.5,-4.44,11.96
176.0,34.5,-4.44,12.15
176.5,34.5,-4.44,12.07
177.0,34.5,-4.5,12.21
177.5,34.5,-4.5,11.7
178.0,34.5,-4.5,12.07
178.5,34.5,-4.56,12.18
179.0,34.5,-4.56,11.8
179.5,34.5,-4.56,12.39
180.0,34.5,-4.56,11.76
180.5,34.5,-4.56,12.16
181.0,34.5,-4.56,12.05
181.5,34.5,-4.56,11.93
182.0,34.5,-4.56,11.75
182.5,34.5,-4.56,11.96
183.0,34.5,-4.62,12.3
183.5,34.5,-4.62,11.72
184.0,34.5,-4.69,11.97
184.5,34.5,-4.69,11.93
185.0,34.5,-4.69,11.93
185.5,34.5,-4.69,11.98
