Elapsed Time (s),Hot(C),Cold(C),Tset(C),Voltage(V)
0.213084698,30.69,17.37,10,0.65
0.755109787,30.69,17.37,10,0.64
1.191640615,30.69,17.62,10,0.61
1.734466791,30.69,17.81,10,0.63
2.168797731,30.62,18,10,0.61
2.714511395,30.62,18.12,10,0.59
3.25953722,30.62,18.37,10,0.67
3.69255662,30.62,18.62,10,0.59
4.234357595,30.62,18.75,10,0.56
4.669860601,30.62,18.94,10,0.56
5.213313341,30.62,19.19,10,0.54
5.757293701,30.62,19.19,10,0.56
6.193045378,30.62,19.31,10,0.54
6.735536814,30.62,19.5,10,0.54
7.280400753,30.56,19.62,10,0.52
7.715358496,30.56,19.75,10,0.59
8.257998466,30.56,19.94,10,0.53
8.693384171,30.56,20.12,10,0.48
9.240419388,30.56,20.19,10,0.48
9.789961576,30.56,20.37,10,0.48
10.22049809,30.56,20.44,10,5.03
10.76473618,30.56,20.44,10,590
11.2029984,30.56,20.62,10,6.05
11.74468255,30.56,20.56,10,6.07
12.28891253,30.56,20.37,10,6.01
12.725739,30.62,20.12,10,5.95
13.26834321,30.62,19.56,10,5.64
13.70194626,30.62,19.44,10,5.67
14.24637866,30.81,19,10,5.45
14.78839588,30.81,18.62,10,5.29
15.22442842,30.81,18.37,10,5.25
15.76674962,30.81,18.37,10,5.27
16.20191717,30.81,18,10,5.01
16.79380989,30.81,17.75,10,4.85
17.22662187,30.81,17.62,10,4.85
17.77155352,30.81,17.25,10,4.71
18.20662403,30.81,17.06,10,4.7
18.79935503,30.81,16.94,10,4.64
19.23062706,30.81,16.69,10,4.35
19.77249908,30.81,16.56,10,4.45
20.31652546,30.81,16.37,10,4.5
20.74910045,30.81,16.37,10,4.37
21.29463363,30.81,16.19,10,4.42
21.72631979,30.81,1606,10,4.32
22.30442071,30.81,15.88,10,4.23
22.73912692,30.81,15.75,10,4.04
23.28205681,30.81,15.69,10,4.19
23.82772946,30.87,15.56,10,4.16
24.26334238,30.87,15.44,10,4.13
24.80906558,30.87,15.38,10,4.08
25.24361587,30.87,15.31,10,4.15
25.78776813,30.87,15.31,10,4.1
26.33550668,30.87,15.25,10,4.48
26.77074504,30.87,15.13,10,4.06
27.31675148,30.87,15.06,10,4.09
27.75158811,30.87,15,10,4.11
28.29372072,30.81,15,10,4.15
28.83500767,30.81,14.88,10,4.04
29.2707746,30.81,14.88,10,4.05
30.24915791,30.81,14.69,10,4.02
30.7958405,30.81,14.69,10,4
31.34535503,30.81,14.69,10,4
31.78007984,30.81,14.69,10,4.01
32.32228351,30.81,14.5,10,4
32.75976276,30.81,14.5,10,4.07
33.30189681,30.81,0.5,10,3.96
33.84504676,30.81,14.44,10,4.1
34.28247166,30.81,14.44,10,4.05
34.8302834,30.81,14.31,10,3.92
35.27064681,30.81,14.31,10,3.96
35.81721377,30.81,14.31,10,4.03
36.36348343,30.81,14.31,10,4.09
36.80461407,30.81,14.25,10,4.17
37.35429859,30.81,14.25,10,4.01
37.7956171,30.81,14.19,10,4.16
38.34689593,30.81,14.06,10,4.02
38.78357983,30.81,14.06,10,4.17
39.32555461,30.81,14.06,10,4.06
39.87201118,30.81,14.06,10,4.06
40.30771875,30.81,14.06,10,4.5
40.8540864,30.81,14.06,10,4.13
41.29641891,30.81,14,10,3.99
41.84660625,30.81,13.94,10,3.98
42.28562665,30.81,13.88,10,4.07
42.82859254,30.81,13.88,10,4.09
43.37395382,30.81,13.88,10,4.11
43.8091116,30.81,13.81,10,4.1
44.35486674,30.81,13.81,10,4.09
44.79090834,30.81,13.75,10,4.06
45.33314705,30.81,13.75,10,4.07
45.87747669,30.81,13.75,10,4.07
46.31497836,30.81,13.6,10,4.11
46.87566376,30.81,13.69,10,4.27
47.31322169,30.81,13.63,10,4.1
47.88941574,30.81,13.63,10,4.1
48.32172036,30.81,13.56,10,4.07
48.86440682,30.81,13.5,10,4.01
49.3042717,30.81,13.5,10,4.16
49.84708929,30.81,13.5,10,4.13
50.39252877,30.81,13.5,10,4.13
50.83168888,30.81,13.5,10,4.19
51.37483644,30.81,13.44,10,4.08
51.80753636,30.81,13.38,10,4.1
52.35149932,30.81,13.38,10,4.15
52.8943994,30.81,13.31,10,4.1
53.33190632,30.81,13.31,10,4.14
53.87420774,30.81,13.25,10,4.18
54.41817093,30.81,13.25,10,4.11
54.85441589,30.81,13.25,10,4.02
55.39905143,30.81,13.19,10,4.2
55.83308291,30.81,13.19,10,4.17
56.37427974,30.81,13.19,10,4.25
56.91550708,30.81,13.19,10,4.16
57.35252047,30.81,13.13,10,4.14
57.89706087,30.81,13.13,10,4.16
58.33142757,30.81,13.13,10,4.23
58.87719345,30.81,13.06,10,4.16
59.42027926,30.81,13.06,10,4.21
59.85797477,30.81,13,10,4.13
60.40157866,30.81,12.88,10,4.15
60.83827567,30.81,12.88,10,4.11
61.38082099,30.81,12.88,10,4.14
61.92593765,30.81,12.88,10,4.11
62.36081886,30.81,12.88,10,4.19
62.90381622,30.81,12.81,10,4.16
63.44927526,30.81,12.81,10,4.17
63.8864429,30.81,12.81,10,4.15
64.42695141,30.81,12.81,10,4.24
64.86300993,30.81,12.81,10,4.11
